Agent / Average Win Rate,Ascent,Fracture,Haven,Icebox,Lotus,Pearl,Split
Astra,49.18333,47.28333,48.12778,49.16111,50.02222,50.56667,49.52222
Breach,47.79444,49.25556,48.42778,47.61667,49.55,47.34444,48.67222
Brimstone,51.41111,51.07222,50.96111,48.96111,50.96667,50.72222,50.23333
Chamber,48.28889,48.57222,48.23333,48.35556,49.16111,48.19444,47.31667
Cypher,48.92222,48.89444,48.76111,46.93333,49.16111,48.93889,49.03333
Fade,48.45556,48.86111,48.86111,48.66667,48.95556,49.66111,49.10556
Gekko,49.13333,50.31667,50.79444,50.68333,51.32778,51.85,49.93889
Harbor,44.76111,46.63333,45.29444,47.48889,47.42222,47.05556,45.15556
Jett,49.02222,49.5,49.39444,50.09444,49.19444,49.00556,48.62778
KAY/O,45.76111,45.98889,45.73333,46.81667,46.56667,46.3,46.50556
Killjoy,50.59444,50.92778,50.75556,50.8,50.68333,50.73333,50.70556
Neon,47.27778,48.66111,47.32778,47.77778,48.06667,48.27778,47.14444
Omen,48.76111,46.66111,48.75556,48.01667,48.67222,48.26667,48.93889
Phoenix,50.41111,49.77222,50.35,49.59444,49.97778,50.43889,49.72222
Raze,50.1,49.77778,49.82222,49.33333,50.17222,49.72778,50.12222
Reyna,49.97778,50.58889,49.67222,50.2,50.35,50.18333,50.37778
Sage,50.25556,50.04444,50.04444,50.30556,50.43333,50.52778,50.44444
Skye,48.7,48.82222,49.08889,48.05,49.28333,48.63889,49.1
Sova,49.97778,48.16111,49.42222,49.18333,48.15556,48.58333,48.40556
Viper,48.56111,49.17778,47.82222,50.2,48.64444,49.5,48.46111
Yoru,46.42778,46.98333,47.15,46.16111,46.86111,47.4,46.41111
