Agent,Ascent,Fracture,Haven,Icebox,Lotus,Pearl,Split
Astra,56135,34972,52710,16579,58578,88914,70161
Breach,53248,218150,83558,34873,138661,55763,81252
Brimstone,193031,282846,186730,84624,150835,141911,167421
Chamber,70518,84790,87137,77530,110126,101955,65544
Cypher,98657,126606,122264,50518,108571,136616,157707
Fade,119846,132152,125063,93461,134342,202945,119904
Gekko,177423,175016,179690,151920,182729,181151,178578
Harbor,26377,38064,26952,40941,77657,87698,30513
Jett,327094,277251,324307,289913,270485,299988,266708
KAY/O,119654,103894,97774,101884,110195,115142,109352
Killjoy,342608,248291,228190,190823,232679,197405,223952
Neon,62181,113608,70270,66891,87087,84429,67301
Omen,290942,146247,324195,153560,254021,148115,274023
Phoenix,122023,104496,132243,81546,120397,132708,108167
Raze,206257,214756,193770,178684,245801,177688,291847
Reyna,380390,376049,391837,339621,381465,387084,369424
Sage,322651,324384,368009,377124,318556,352197,440988
Skye,104883,111833,131761,82728,157017,128629,151987
Sova,224530,74927,182310,213303,92153,100870,92478
Viper,75501,140146,65248,277929,90219,200199,107029
Yoru,59748,64149,66850,61275,68394,72774,63532
