Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,Sentinel,0.98,13.7,13.9,4.4,50.7,8.9,200,0.2,18334
2,Raze,Duelist,1,15.2,15.2,5.4,50.7,6.6,230,0.1,13517
3,Breach,Initiator,0.91,13.8,15.2,6,50.6,1.8,198,0.1,3654
4,Brimstone,Controller,0.95,13.9,14.7,7.7,50.6,5.2,204,0.1,10621
5,Reyna,Duelist,1.08,16.5,15.2,4.8,50.3,10.9,237,0.1,22429
6,Gekko,Initiator,0.91,13.6,14.8,4.9,50.2,4.3,192,0.1,8781
7,Phoenix,Duelist,1.03,15.4,14.9,4.8,49.6,3.9,227,0.1,7937
8,Sage,Sentinel,0.87,12.6,14.5,7,49.5,12.3,182,0.1,25154
9,Sova,Initiator,0.95,13.7,14.4,5.5,49.5,5.3,200,0.1,10783
10,Jett,Duelist,1.01,15.7,15.5,4.1,49.1,6.6,225,0.1,13498
11,Omen,Controller,0.95,14.1,14.9,6.2,48.6,7.2,202,0.1,14703
12,Astra,Controller,0.99,14.5,14.6,6,48.3,1.0,204,0.1,1950
13,Viper,Controller,0.92,13.4,14.6,5.5,48.0,3.3,195,0.1,6816
14,Fade,Initiator,0.88,13,14.8,6.2,47.8,4.1,189,0.1,8441
15,Cypher,Sentinel,0.95,13.6,14.2,5.3,47.6,2.8,192,0.2,5839
16,Skye,Initiator,0.86,12.8,14.9,7.8,47.6,3.6,188,0.1,7456
17,Yoru,Duelist,0.93,14.4,15.5,4.4,47.1,2.8,205,0.1,5735
18,Neon,Duelist,0.94,14.7,15.7,4.3,46.6,2.9,215,0.1,5886
19,Chamber,Sentinel,1.02,14.9,14.7,3.5,46.5,2.1,212,0.1,4260
20,KAY/O,Initiator,0.84,12.8,15.2,7.9,46.0,3.3,190,0.1,6754
21,Harbor,Controller,0.89,13.3,15,5.8,45.3,1.2,193,0.1,2388
