Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,1.12,17,15.2,4.8,51.8,3.6,242,0.1,9987
2,Brimstone,0.98,14.4,14.7,8.3,50.8,5.9,210,0.1,16495
3,Reyna,1.15,17.8,15.5,4.7,50.6,11.9,251,0.1,33386
4,Sova,1.01,14.6,14.6,5.8,50.4,5.6,209,0.1,15740
5,Killjoy,1.01,14.2,14.1,4.2,50.0,10.1,204,0.2,28188
6,Raze,1.05,16.4,15.7,5.3,49.9,6.3,241,0.1,17613
7,Jett,1.09,17,15.6,3.9,49.9,8.2,240,0.1,23073
8,Viper,0.99,14.3,14.5,5.6,49.8,2.6,204,0.1,7415
9,Sage,0.92,13.4,14.6,7.1,49.7,10.3,191,0.1,28820
10,Astra,1.03,15,14.6,6.5,49.4,1.3,208,0.1,3708
11,Gekko,0.94,14.1,15,5,49.0,4.9,197,0.1,13662
12,Cypher,0.98,14.1,14.4,5.2,48.8,2.8,196,0.1,7809
13,Chamber,1.09,16.2,14.8,3.3,48.7,2.1,224,0.1,5880
14,Fade,0.93,14,15,6.4,48.6,3.5,198,0.1,9726
15,Omen,0.99,14.9,15,7,48.5,7.8,209,0.1,21981
16,Breach,0.95,14.4,15.2,6.2,48.4,1.8,205,0.1,5015
17,Skye,0.92,13.9,15.1,7.9,48.2,3.2,198,0.1,9034
18,Yoru,1.01,15.6,15.6,4.4,47.9,1.8,220,0.1,5079
19,KAY/O,0.91,13.8,15.2,8.2,46.7,3.3,202,0.1,9219
20,Neon,0.99,15.9,16,4.3,46.5,2.0,228,0.1,5680
21,Harbor,0.9,13.7,15.3,5.9,45.8,0.9,195,0.1,2584
