Rank,Agent,KD,KDA,Win %,Pick %,Avg.,Score,First Blood %,Matches
1,Brimstone,0.98,14.6,14.9,9.1,51.3,6.1,209,0.1,14232
2,Sova,1.02,14.9,14.6,6,51.0,6.8,210,0.1,16002
3,Astra,1.05,15.5,14.7,7,50.3,2.0,212,0.1,4624
4,Sage,0.93,13.8,14.8,7.2,50.0,8.1,193,0.1,19021
5,Phoenix,1.13,17.4,15.4,4.8,50.0,3.5,245,0.1,8171
6,Killjoy,1.01,14.4,14.3,4,49.6,10.4,203,0.2,24436
7,Raze,1.05,16.7,15.9,5.2,49.4,5.7,243,0.1,13385
8,Viper,1,14.7,14.7,5.8,49.3,1.8,206,0.1,4105
9,Reyna,1.15,18,15.7,4.7,49.2,11.3,250,0.1,26527
10,Jett,1.1,17.5,15.9,3.9,49.0,10.7,243,0.1,25103
11,Cypher,1.01,14.8,14.6,5.1,48.9,2.8,201,0.2,6504
12,Fade,0.95,14.3,15,6.4,48.9,3.1,200,0.1,7326
13,Chamber,1.09,16.5,15.2,3.1,48.7,2.1,223,0.1,4875
14,Skye,0.94,14.3,15.2,7.7,48.7,2.8,201,0.1,6607
15,Omen,0.99,15,15.2,7.8,48.7,9.0,209,0.1,20961
16,Gekko,0.94,14.3,15.2,5.1,48.4,5.4,196,0.1,12659
17,Breach,0.94,14.7,15.6,6.7,48.3,1.6,205,0.1,3708
18,Neon,0.98,15.9,16.2,4.1,46.9,1.3,225,0.1,2927
19,Yoru,1,15.8,15.8,4.4,46.5,1.2,219,0.1,2780
20,KAY/O,0.92,14.3,15.5,8.6,46.4,3.6,204,0.1,8378
21,Harbor,0.92,14,15.2,5.9,44.2,0.7,195,0.1,1553

