Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Harbor,Controller,0.76,11.3,14.8,5.1,60.9,1.1,163,0.1,161
2,Killjoy,Sentinel,0.78,10.7,13.7,4,53.0,4.5,164,0.2,634
3,Skye,Initiator,0.75,10.4,13.9,6.7,52.5,3.1,159,0.2,442
4,Breach,Initiator,0.83,12.1,14.6,5.7,52.2,2.0,179,0.1,289
5,Reyna,Duelist,0.97,13.6,14.1,4.3,51.2,11.1,205,0.1,1572
6,Raze,Duelist,0.9,13.1,14.5,4.7,51.0,7.8,199,0.1,1101
7,Jett,Duelist,0.88,12.7,14.5,3.8,49.6,6.5,190,0.1,924
8,Chamber,Sentinel,0.89,12.3,13.8,3.6,49.5,2.2,179,0.1,315
9,Gekko,Initiator,0.82,10.9,13.3,4.3,49.4,2.9,168,0.1,415
10,Brimstone,Controller,0.79,11.5,14.4,5.8,49.3,3.5,171,0.1,493
11,Sage,Sentinel,0.71,9.9,13.9,5.9,48.0,13.7,150,0.1,1943
12,Phoenix,Duelist,0.88,12.6,14.3,4.2,47.9,5.5,189,0.1,780
13,Sova,Initiator,0.77,10.7,13.8,4.5,47.9,3.9,163,0.2,547
14,Viper,Controller,0.78,11.2,14.3,4.7,47.4,4.7,168,0.1,663
15,Cypher,Sentinel,0.77,10.8,14,4.7,47.2,2.2,163,0.2,316
16,Astra,Controller,0.84,10.9,12.9,4.1,46.8,0.5,162,0.2,77
17,Yoru,Duelist,0.83,12.2,14.6,4.1,46.6,6.0,177,0.1,847
18,Fade,Initiator,0.73,10.7,14.7,5.6,45.4,5.3,162,0.1,744
19,Omen,Controller,0.77,11.2,14.5,4.4,45.3,4.7,168,0.1,669
20,Neon,Duelist,0.8,11.9,14.8,3.7,44.9,5.6,180,0.1,789
21,KAY/O,Initiator,0.74,10.9,14.7,7,42.3,3.1,172,0.1,444
