Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Brimstone,Controller,0.99,14.6,14.7,8.4,51.5,9.6,207,0.1,21141
2,Reyna,Duelist,1.16,18,15.5,4.6,50.9,10.7,250,0.1,23387
3,Sage,Sentinel,0.9,13.4,14.8,7,50.4,8.0,188,0.1,17565
4,Fade,Initiator,0.94,14.2,15,6.3,50.3,3.7,198,0.1,8125
5,Raze,Duelist,1.06,16.6,15.7,4.8,50.3,6.2,239,0.1,13545
6,Killjoy,Sentinel,1.01,14.3,14.2,4.1,50.2,7.5,202,0.2,16463
7,Phoenix,Duelist,1.12,17.1,15.3,4.7,50.1,2.5,240,0.1,5556
8,Cypher,Sentinel,1,14.6,14.6,5,50.1,4.1,200,0.1,8951
9,Skye,Initiator,0.94,14,15,7.3,49.8,3.1,197,0.1,6709
10,Sova,Initiator,0.98,14.4,14.8,5.4,49.5,1.7,204,0.1,3663
11,Neon,Duelist,1.02,16.8,16.4,4.4,49.3,3.0,234,0.1,6634
12,Gekko,Initiator,0.95,14.2,14.9,5,49.1,5.7,195,0.1,12405
13,Breach,Initiator,0.94,14.4,15.3,6.6,48.9,8.0,202,0.1,17475
14,Viper,Controller,0.98,14.4,14.7,5.7,48.8,4.2,202,0.2,9219
15,Jett,Duelist,1.09,17.3,15.9,3.9,48.8,9.5,240,0.1,20763
16,Chamber,Sentinel,1.07,16.2,15.1,3.1,48.3,2.7,219,0.1,5966
17,Astra,Controller,1.04,15.2,14.6,6.2,47.3,1.2,207,0.1,2614
18,KAY/O,Initiator,0.92,14.2,15.5,8.9,47.3,3.0,203,0.1,6503
19,Omen,Controller,0.96,14.6,15.3,6.6,46.3,3.6,203,0.1,7846
20,Yoru,Duelist,1.01,15.7,15.6,4.6,46.3,1.2,219,0.1,2672
21,Harbor,Controller,0.9,13.8,15.3,5.8,45.6,1.0,192,0.1,2200
