Rank,Agent,Agent Class,KD,Kills,Deaths,Assists,Win Pct.,Pick Pct.,Avg. Score,First Blood %,Matches
1,Phoenix,Duelist,1.12,17.6,15.6,4.7,52.1,3.8,245,0.1,7610
2,Brimstone,Controller,0.97,14.5,14.9,8.8,51.9,5.6,206,0.1,11146
3,Sage,Sentinel,0.93,13.9,15,7.2,50.8,9.3,194,0.1,18577
4,Astra,Controller,1.05,15.3,14.6,6.6,50.8,2.0,209,0.1,4025
5,Raze,Duelist,1.06,16.8,15.9,4.8,50.5,5.0,242,0.1,9958
6,Reyna,Duelist,1.14,17.9,15.7,4.6,50.3,11.0,248,0.1,21817
7,Killjoy,Sentinel,0.99,14.3,14.4,3.8,50.3,6.7,200,0.2,13228
8,Gekko,Initiator,0.95,14.4,15.1,5.3,50.2,6.1,198,0.1,12092
9,Sova,Initiator,1.01,14.7,14.6,5.7,50.2,6.0,207,0.1,11859
10,Viper,Controller,0.96,14.3,14.9,5.6,49.3,1.0,201,0.1,2004
11,Fade,Initiator,0.96,14.5,15.1,6.6,49.1,3.2,202,0.1,6451
12,Jett,Duelist,1.09,17.4,15.9,3.8,48.8,11.4,241,0.1,22609
13,Skye,Initiator,0.94,14.4,15.3,7.7,48.8,3.8,201,0.1,7499
14,Omen,Controller,0.99,15,15.1,7.4,48.7,10.4,207,0.1,20618
15,Cypher,Sentinel,1,14.7,14.7,4.9,48.5,4.0,200,0.1,8000
16,Breach,Initiator,0.93,14.4,15.4,6.8,48.3,2.6,201,0.1,5150
17,Chamber,Sentinel,1.08,16.2,15,3,48.1,2.7,220,0.1,5295
18,Yoru,Duelist,1.02,16.1,15.8,4.5,47.7,1.1,224,0.1,2285
19,Neon,Duelist,0.97,16.1,16.6,4.2,45.4,1.2,226,0.1,2468
20,Harbor,Controller,0.88,13.8,15.6,6.2,45.1,0.5,190,0.1,1009
21,KAY/O,Initiator,0.92,14.4,15.7,9.1,44.6,2.6,206,0.1,5148
