Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,1.13,17.6,15.6,4.7,52.8,3.8,246,0.1,6848
2,Brimstone,0.98,14.6,14.9,8.9,52.3,5.6,207,0.1,10135
3,Gekko,0.97,14.6,15,5.4,51.0,6.0,199,0.1,10942
4,Breach,0.96,14.8,15.5,6.9,50.2,2.7,204,0.1,4921
5,Sage,0.93,14,15,7.2,50.1,8.7,194,0.1,15851
6,Killjoy,1,14.5,14.5,3.7,50.0,6.6,201,0.2,11966
7,Sova,1.01,14.9,14.7,5.8,50.0,6.2,208,0.1,11290
8,Yoru,1.04,16.2,15.6,4.5,49.9,1.1,224,0.1,1986
9,Reyna,1.14,18,15.8,4.6,49.4,10.9,248,0.1,19873
10,Jett,1.09,17.4,16,3.8,49.4,12.2,241,0.1,22094
11,Raze,1.06,17,16,4.8,49.4,5.0,243,0.1,9013
12,Astra,1.04,15.2,14.6,6.7,49.0,1.9,208,0.1,3497
13,Cypher,1.01,14.9,14.7,4.9,48.7,3.8,203,0.1,6931
14,Neon,0.99,16.3,16.4,4.2,48.6,1.2,228,0.1,2176
15,Fade,0.96,14.5,15,6.7,48.6,3.3,202,0.1,5959
16,Viper,0.99,14.6,14.8,5.9,48.4,0.8,204,0.1,1401
17,Omen,0.99,15.1,15.3,7.5,48.2,11.0,207,0.1,19904
18,Skye,0.96,14.6,15.3,7.5,48.1,3.8,202,0.1,6940
19,Chamber,1.08,16.3,15.1,3.1,47.2,2.6,219,0.1,4735
20,Harbor,0.95,14.9,15.6,6.3,43.9,0.5,201,0.1,915
21,KAY/O,0.91,14.5,15.8,9.2,43.3,2.4,205,0.1,4376
