Rank,Agent,KD,KDA,Win %,Pick %,Avg.,Score,First Blood %,Matches
1,Astra,1.05,15.2,14.4,5.1,51.8,0.6,210,0.1,1789
2,Reyna,1.17,18,15.4,4.5,50.8,12.0,255,0.1,33332
3,Fade,0.94,14.2,15.1,6.4,50.5,3.3,202,0.1,9022
4,Jett,1.12,17.4,15.6,4,50.5,8.6,247,0.1,23851
5,Sage,0.91,13.3,14.7,7,50.5,12.8,189,0.1,35483
6,Killjoy,0.99,14,14.2,4.1,50.5,6.5,201,0.2,18125
7,Gekko,0.95,14.1,14.8,4.8,50.3,5.0,198,0.1,13909
8,Raze,1.05,16.3,15.6,4.7,49.9,6.0,239,0.1,16787
9,Viper,0.99,14.4,14.6,5.6,49.7,8.5,204,0.1,23589
10,Sova,0.98,14.3,14.6,5.2,49.3,6.4,203,0.1,17646
11,Breach,0.94,14.5,15.4,5.8,49.3,1.3,206,0.1,3717
12,Chamber,1.09,15.9,14.6,3.2,49.1,2.6,220,0.1,7157
13,Brimstone,0.96,14.3,14.9,6.8,49.1,3.4,206,0.1,9469
14,Neon,1,16.2,16.2,4.2,48.6,2.5,231,0.1,6822
15,Harbor,0.93,13.7,14.8,5.6,48.6,1.3,194,0.1,3688
16,Phoenix,1.1,16.7,15.2,4.4,48.5,3.0,237,0.1,8234
17,Omen,1,15.2,15.2,5.4,48.5,5.8,214,0.1,16191
18,Skye,0.93,13.9,15,7.3,48.0,2.9,199,0.1,8163
19,Yoru,0.99,15.5,15.6,4.2,46.6,2.1,218,0.1,5782
20,Cypher,0.97,14.2,14.6,4.7,46.5,1.8,198,0.2,4994
21,KAY/O,0.92,14.1,15.3,8.4,46.4,3.5,204,0.1,9799

