Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,0.98,14.7,14.9,7.9,52.2,4.7,208,0.1,10798
2,Astra,1.05,15.1,14.5,5.9,51.4,2.0,208,0.2,4575
3,Gekko,0.97,14.5,15,5,51.3,5.6,198,0.1,12939
4,Sage,0.93,13.8,14.8,7,51.3,8.4,192,0.1,19228
5,Phoenix,1.13,17.3,15.3,4.6,50.8,3.4,243,0.1,7811
6,Raze,1.08,17,15.8,5,50.4,7.2,247,0.1,16576
7,Reyna,1.18,18.1,15.4,4.5,50.4,11.7,253,0.1,27006
8,Fade,0.95,14.4,15.1,6.2,50.2,3.7,201,0.1,8492
9,Cypher,1.01,14.7,14.6,4.8,50.2,3.2,201,0.1,7428
10,Killjoy,1.01,14.4,14.3,3.8,50.2,6.7,201,0.2,15525
11,Skye,0.94,14.1,15.1,7.7,50.1,4.6,198,0.1,10635
12,Viper,0.99,14.7,14.8,5.5,49.8,2.3,205,0.1,5371
13,Chamber,1.11,16.5,14.8,3,49.7,3.6,225,0.1,8213
14,Jett,1.11,17.5,15.8,3.9,49.3,8.8,244,0.1,20327
15,Breach,0.95,14.6,15.3,6.7,49.3,4.6,203,0.1,10556
16,Sova,0.99,14.5,14.7,5.5,48.7,2.4,208,0.1,5480
17,Harbor,0.92,14.1,15.3,5.8,48.6,2.4,195,0.1,5511
18,Omen,0.98,14.9,15.1,6.5,48.5,7.8,207,0.1,17857
19,Neon,1,16.4,16.4,4.3,47.9,2.2,231,0.1,5018
20,Yoru,1.03,16.1,15.7,4.4,46.9,1.5,223,0.1,3344
21,KAY/O,0.93,14.3,15.4,8.9,45.7,3.2,206,0.1,7314
