Rank,Agent,KD,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,0.86,12.2,14.2,5.9,51.6,3.4,183,0.1,1759
2,Raze,0.92,13.5,14.6,4.8,51.4,6.8,207,0.1,3462
3,Harbor,0.77,11.4,14.7,5.4,51.4,1.5,167,0.1,782
4,Viper,0.82,11.8,14.3,5.2,50.6,5.0,176,0.1,2543
5,Skye,0.8,11.5,14.4,7.1,50.6,3.6,171,0.1,1826
6,Killjoy,0.86,11.8,13.7,4.3,50.2,5.5,179,0.2,2810
7,Sage,0.75,10.7,14.2,6.3,49.7,14.1,159,0.1,7211
8,Reyna,1,14.6,14.6,4.6,49.2,10.8,216,0.1,5522
9,KAY/O,0.76,11,14.6,7.2,49.2,3.2,169,0.1,1647
10,Gekko,0.86,12.4,14.4,4.9,48.8,3.3,180,0.1,1683
11,Astra,0.9,12.3,13.6,4.8,48.7,0.9,181,0.2,439
12,Cypher,0.86,12,14,4.9,48.2,2.8,176,0.2,1457
13,Jett,0.92,13.5,14.7,3.9,48.1,5.8,201,0.1,2971
14,Fade,0.79,11.6,14.6,6,48.1,5.7,174,0.1,2929
15,Phoenix,0.9,13.1,14.5,4.4,48.0,4.7,195,0.1,2402
16,Omen,0.83,12.1,14.6,4.7,47.3,5.4,179,0.1,2771
17,Breach,0.82,11.9,14.6,5.2,47.3,1.3,181,0.1,678
18,Neon,0.86,13.1,15.3,4.1,47.3,4.5,195,0.1,2308
19,Yoru,0.87,12.9,14.8,4.2,46.1,4.9,189,0.1,2518
20,Sova,0.81,11.7,14.4,5,45.9,4.4,176,0.1,2251
21,Chamber,0.89,12.7,14.4,3.6,45.3,2.3,184,0.1,1154
