Rank,Agent,KD,KDA,Win %,Pick %,Avg.,Score,First Blood %,Matches
1,Phoenix,1.12,17.7,15.7,5.1,53.4,4.3,246,0.1,5403
2,Brimstone,0.97,14.5,15,9,52.1,3.2,206,0.1,3990
3,Gekko,0.97,14.6,15,5.5,51.2,7.0,198,0.2,8814
4,Sage,0.94,14,14.9,7.3,51.2,6.5,193,0.1,8219
5,Raze,1.06,16.9,15.9,5,50.9,4.3,242,0.1,5378
6,Astra,1.07,15.5,14.4,6.8,50.7,5.1,210,0.2,6408
7,Fade,0.97,14.8,15.2,6.7,50.7,8.0,204,0.1,10031
8,Killjoy,1.04,14.9,14.4,4,50.2,5.6,206,0.2,7073
9,Reyna,1.14,17.9,15.7,4.5,50.1,9.7,248,0.1,12169
10,Viper,1.01,14.9,14.8,6.3,49.8,7.0,207,0.2,8824
11,Cypher,1.02,15,14.7,4.9,49.4,5.8,202,0.1,7362
12,Neon,0.99,16.4,16.6,4.4,49.3,1.4,230,0.1,1723
13,Jett,1.07,17.3,16.1,3.8,49.1,12.8,237,0.1,16153
14,Skye,0.96,14.8,15.4,8.1,48.8,3.4,204,0.1,4245
15,Omen,0.97,15,15.4,7,48.4,2.0,206,0.1,2578
16,Breach,0.94,14.7,15.6,7,48.4,1.0,205,0.1,1220
17,Sova,1,14.8,14.8,5.8,48.3,1.8,207,0.1,2301
18,Harbor,0.92,14,15.3,6.4,47.3,3.6,192,0.1,4520
19,Chamber,1.1,16.4,15,3,46.8,3.1,220,0.1,3868
20,KAY/O,0.93,14.4,15.6,9.1,46.1,3.3,205,0.1,4194
21,Yoru,1.04,16.6,16,4.4,45.4,1.2,229,0.1,1460
