1,Reyna,Duelist,1.17,17.9,15.3,4.7,51.3,11.7,254,0.1,32644
2,Brimstone,Controller,0.97,14.4,14.8,7.8,50.8,5.2,209,0.1,14394
3,Gekko,Initiator,0.95,14.2,14.9,4.9,50.7,5.0,199,0.1,13810
4,Killjoy,Sentinel,1.01,14.3,14.2,4.2,50.5,6.7,205,0.2,18824
5,Phoenix,Duelist,1.1,16.6,15.2,4.8,50.2,3.3,240,0.1,9333
6,Raze,Duelist,1.06,16.6,15.6,5.1,50.1,7.9,243,0.1,21979
7,Breach,Initiator,0.94,14.4,15.4,6,49.9,2.5,205,0.1,6864
8,Sage,Sentinel,0.92,13.4,14.6,7.4,49.9,12.6,191,0.1,35030
9,Astra,Controller,1.04,15.1,14.6,5.9,49.4,1.6,210,0.1,4468
10,Jett,Duelist,1.08,16.9,15.6,4.1,49.4,7.0,240,0.1,19446
11,Cypher,Sentinel,1.01,14.5,14.4,5.1,49.3,4.4,203,0.1,12169
12,Fade,Initiator,0.94,14.2,15.1,6.1,49.0,3.4,200,0.1,9496
13,Skye,Initiator,0.93,13.9,15,7.8,48.8,4.3,199,0.1,12083
14,Viper,Controller,0.98,14.3,14.6,5.5,48.4,3.5,204,0.1,9632
15,Omen,Controller,0.99,15,15.1,6.2,48.4,7.7,211,0.1,21428
16,Sova,Initiator,0.97,14.4,14.8,5.2,48.0,2.9,206,0.1,8164
17,Yoru,Duelist,1.01,15.5,15.4,4.5,47.8,2.0,219,0.1,5702
18,Neon,Duelist,0.99,15.9,16.1,4.3,47.8,2.2,228,0.1,6232
19,Chamber,Sentinel,1.06,15.9,15,3.4,46.5,2.0,221,0.1,5546
20,Harbor,Controller,0.92,13.9,15.1,5.5,46.5,1.0,197,0.1,2884
21,KAY/O,Initiator,0.91,13.9,15.2,8.1,46.4,3.2,203,0.1,8809
